#SUBMITTED ID	ANNOTATION_SYMBOL	LOCATION_ARM	NAME	SYMBOL
FBgn0286782	CG8213	2R	filzig	flz
FBgn0022382	CG15862	2R	Protein kinase, cAMP-dependent, regulatory subunit type 2	Pka-R2
FBgn0037689	CG8135	3R	-	CG8135
FBgn0030364	CG15735	X	LSM12 homolog a	Lsm12a
FBgn0017577	CG4082	3R	Minichromosome maintenance 5	Mcm5
FBgn0038737	CG11447	3R	-	CG11447
FBgn0038965	CG13852	3R	mob as tumor suppressor	mats
FBgn0052476	CG32476	3L	methuselah-like 14	mthl14
FBgn0243511	CG4845	3R	phagocyte signaling impaired	psidin
FBgn0004861	CG18412	X	polyhomeotic proximal	ph-p
FBgn0037896	CG6728	3R	ninaG	ninaG
FBgn0034073	CG8414	2R	-	CG8414
FBgn0014092	CG4278	2L	-	CG4278
FBgn0044028	CG13076	3L	Notum	Notum
FBgn0028473	CG8801	2R	Novel nucleolar protein 1	Non1
FBgn0017430	CG5994	3L	Negative elongation factor E	Nelf-E
FBgn0023523	CG3206	X	Odorant receptor 2a	Or2a
FBgn0032214	CG4968	2L	-	CG4968
FBgn0010309	CG10739	2L	pigeon	pigeon
FBgn0067864	CG12021	3L	Patj	Patj
FBgn0036570	CG5222	3L	Integrator 9	IntS9
FBgn0053533	CG33533	2L	lectin-37Db	lectin-37Db
FBgn0033984	CG10255	2R	Lap1	Lap1
FBgn0264691	CG3004	X	Lst8	Lst8
FBgn0002565	CG6806	3L	Larval serum protein 2	Lsp2
FBgn0037697	CG9363	3R	Glutathione S transferase Z2	GstZ2
FBgn0040344	CG3711	X	Leucine zipper like transcription regulator 1	Lztr1
FBgn0002570	CG8696	2R	Maltase A1	Mal-A1
FBgn0031985	CG8683	2L	monensin sensitivity 2	mon2
FBgn0004172	CG17946	3R	Male-specific RNA 84Da	Mst84Da
FBgn0003149	CG5939	3L	Paramyosin	Prm
FBgn0028704	CG18660	2L	Nckx30C	Nckx30C
FBgn0002938	CG5125	2L	neither inactivation nor afterpotential C	ninaC
FBgn0031381	CG7291	2L	Niemann-Pick type C-2a	Npc2a
FBgn0261286	CG12785	3R	Maternal transcript 89Ba	Mat89Ba
FBgn0264810	CG15284	2L	Partner of Bursicon	Pburs
FBgn0015024	CG2028	X	Casein kinase Ialpha	CkIalpha
FBgn0028418	CG13480	3L	Leucokinin	Lk
FBgn0284252	CG4589	2R	Leucine zipper and EF-hand containing transmembrane protein 1	Letm1
FBgn0019686	CG10895	2L	loki	lok
FBgn0033883	CG16935	2R	-	CG16935
FBgn0037408	CG1147	3R	Neuropeptide F receptor	NPFR
FBgn0011648	CG12399	2L	Mothers against dpp	Mad
FBgn0023537	CG17896	X	-	CG17896
FBgn0051217	CG31217	3R	modular serine protease	modSP
FBgn0011668	CG9074	3R	Male-specific RNA 57Da	Mst57Da
FBgn0002922	CG10250	3R	nautilus	nau
FBgn0265726	CG44533	X	Nna1 carboxypeptidase	Nna1
FBgn0013717	CG4166	3L	non-stop	not
FBgn0262952	CG34085	mitochondrion_genome	mitochondrial NADH-ubiquinone oxidoreductase chain 4	mt:ND4
FBgn0002973	CG3779	2L	numb	numb
FBgn0024944	CG3856	3R	Octopamine receptor in mushroom bodies	Oamb
FBgn0011281	CG11421	3R	Odorant-binding protein 83a	Obp83a
FBgn0031737	CG11142	2L	obstructor-E	obst-E
FBgn0053774	CG33774	2R	-	CG33774
FBgn0038980	CG6919	3R	Octopamine beta1 receptor	Octbeta1R
FBgn0261885	CG7467	3R	osa	osa
FBgn0033846	CG6061	2R	Myb-interacting protein 120	mip120
FBgn0036726	CG7603	3L	QIL1	QIL1
FBgn0052475	CG32475	3L	methuselah-like 8	mthl8
FBgn0039859	CG11539	3R	-	CG11539
FBgn0262656	CG10798	X	Myc	Myc
FBgn0002962	CG5637	3R	nanos	nos
FBgn0036039	CG18177	3L	N(alpha)-acetyltransferase 60	Naa60
FBgn0259174	CG42279	3L	Nedd4	Nedd4
FBgn0004227	CG4211	X	no on or off transient A	nonA
FBgn0032393	CG12264	2L	Nfs1 cysteine desulfurase	Nfs1
FBgn0033041	CG17250	2R	Odorant receptor 42a	Or42a
FBgn0036709	CG13726	3L	Odorant receptor 74a	Or74a
FBgn0019940	CG5192	3R	Rhodopsin 6	Rh6
FBgn0265189	CG44254	3R	sudestada1	sud1
FBgn0085370	CG34341	2L	Phosphodiesterase 11	Pde11
FBgn0031314	CG4785	2L	Integrator 14	IntS14
FBgn0032633	CG6860	2L	Leucine-rich-repeats and calponin homology domain protein	Lrch
FBgn0039337	CG5121	3R	Mediator complex subunit 28	MED28
FBgn0024330	CG9473	3R	Mediator complex subunit 6	MED6
FBgn0020633	CG4978	3L	Minichromosome maintenance 7	Mcm7
FBgn0004427	CG9118	3L	Lysozyme D	LysD
FBgn0011669	CG5016	3R	Male-specific RNA 57Db	Mst57Db
FBgn0003076	CG5165	3L	Phosphoglucose mutase 1	Pgm1
FBgn0028952	CG31672	2L	Kinetochore and EB1 associated basic protein	Kebab
FBgn0036761	CG5546	3L	Mediator complex subunit 19	MED19
FBgn0032929	CG9241	2L	Minichromosome maintenance 10	Mcm10
FBgn0033845	CG17064	2R	mars	mars
FBgn0028926	CG4185	2L	Negative Cofactor 2beta	NC2beta
FBgn0010296	CG10789	X	new glue 4	ng4
FBgn0037880	CG17726	3R	-	CG17726
FBgn0030352	CG15738	X	severe impairment of CI with lengthened youth	sicily
FBgn0266582	CG12079	3L	NADH dehydrogenase (ubiquinone) 30 kDa subunit	ND-30
FBgn0031021	CG12203	X	NADH dehydrogenase (ubiquinone) 18 kDa subunit	ND-18
FBgn0030061	CG1785	X	-	CG1785
FBgn0015774	CG10521	X	Netrin-B	NetB
FBgn0031081	CG9565	X	Neprilysin 3	Nep3
FBgn0037618	CG11762	3R	ouija board	ouib
FBgn0020643	CG18773	3L	Lcp65Ab2	Lcp65Ab2
FBgn0031875	CG3430	2L	-	CG3430
FBgn0004425	CG1179	3L	Lysozyme B	LysB
FBgn0019960	CG6455	3R	Mitofilin	Mitofilin
FBgn0002772	CG5596	3R	Myosin alkali light chain 1	Mlc1
FBgn0002774	CG11680	2R	maleless	mle
FBgn0032020	CG7787	2L	stratum	strat
FBgn0030766	CG4521	X	methuselah-like 1	mthl1
FBgn0037747	CG8481	3R	N(alpha)-acetyltransferase 80	Naa80
FBgn0039774	CG1471	3R	Ceramidase	CDase
FBgn0030915	CG6179	X	-	CG6179
FBgn0004647	CG3936	X	Notch	N
FBgn0027334	CG11738	X	lethal (1) G0004	l(1)G0004
FBgn0263863	CG6949	3R	mitochondrial ribosomal protein L45	mRpL45
FBgn0035106	CG7036	3L	rhinoceros	rno
FBgn0038275	CG3817	3R	-	CG3817
FBgn0030504	CG2691	X	-	CG2691
FBgn0051159	CG31159	3R	mitochondrial ribosome recycling factor 2	mRRF2
FBgn0013343	CG31136	3R	Syntaxin 1A	Syx1A
FBgn0038746	CG4510	3R	Surfeit 6	Surf6
FBgn0035498	CG14991	3L	Fermitin 1	Fit1
FBgn0259733	CG42387	3R	tarsal-less AA	tal-AA
FBgn0003710	CG1232	3L	temperature-induced paralytic E	tipE
FBgn0034792	CG3499	2R	YME1 like ATPase	YME1L
FBgn0035021	CG4622	2R	-	CG4622
FBgn0027360	CG9878	2R	Translocase of inner membrane 10	Tim10
FBgn0028481	CG4341	2L	-	CG4341
FBgn0044810	CG31193	3R	Turandot X	TotX
FBgn0003742	CG10128	2R	transformer 2	tra2
FBgn0002673	CG4965	2L	twine	twe
FBgn0261444	CG3638	X	-	CG3638
FBgn0040068	CG7893	X	Vav guanine nucleotide exchange factor	Vav
FBgn0021814	CG12770	2R	Vacuolar protein sorting 28	Vps28
FBgn0033194	CG2093	2R	Vacuolar protein sorting 13	Vps13
FBgn0010194	CG6407	X	Wnt oncogene analog 5	Wnt5
FBgn0262738	CG3620	X	no receptor potential A	norpA
FBgn0031282	CG3639	2L	Peroxin 12	Pex12
FBgn0025740	CG17245	4	Plexin B	PlexB
FBgn0019936	CG15693	3R	Ribosomal protein S20	RpS20
FBgn0250788	CG5870	X	beta Spectrin	beta-Spec
FBgn0032593	CG5996	2L	Transient receptor potential cation channel gamma	Trpgamma
FBgn0004101	CG3411	2R	blistered	bs
FBgn0037609	CG9773	3R	-	CG9773
FBgn0025558	CG4101	3L	-	CG4101
FBgn0038134	CG8458	3R	wnt inhibitor of Dorsal	wntD
FBgn0003888	CG3401	2R	beta-Tubulin at 60D	betaTub60D
FBgn0010422	CG3710	2L	RNA polymerase II elongation factor	TfIIS
FBgn0002542	CG2684	3R	lodestar	lds
FBgn0051151	CG31151	3R	winged eye	wge
FBgn0036571	CG12272	3L	Strumpellin	Strump
FBgn0260049	CG10724	3L	flare	flr
FBgn0031972	CG7221	2L	WW domain containing oxidoreductase	Wwox
FBgn0035900	CG6694	3L	ZC3H3	ZC3H3
FBgn0033572	CG12943	2R	polyphemus	polyph
FBgn0020887	CG8013	3L	Su(z)12	Su(z)12
FBgn0003751	CG5619	2L	trunk	trk
FBgn0263599	CG5931	3L	Brr2 U5 snRNP complex subunit	Brr2
FBgn0040087	CG1422	X	p115	p115
FBgn0035025	CG11416	2R	unconventional prefoldin RPB5 interactor	uri
FBgn0029857	CG15897	X	wuho	wuho
FBgn0039065	CG4449	3R	Rad60	Rad60
FBgn0041232	CG32395	3L	-	CG32395
FBgn0275436	CG13348	2R	Phenylalanyl-tRNA synthetase, mitochondrial	PheRS-m
FBgn0025879	CG6281	3R	Tissue inhibitor of metalloproteases	Timp
FBgn0086350	CG8961	2R	teflon	tef
FBgn0037708	CG9386	3R	-	CG9386
FBgn0010288	CG4265	2L	Ubiquitin carboxy-terminal hydrolase	Uch
FBgn0030366	CG1490	X	Ubiquitin-specific protease 7	Usp7
FBgn0037713	CG16790	3R	-	CG16790
FBgn0086906	CG1915	3L	sallimus	sls
FBgn0011289	CG5930	3R	Transcription factor IIA L	TfIIA-L
FBgn0000173	CG18319	X	bendless	ben
FBgn0035812	CG7457	3L	-	CG7457
FBgn0033610	CG18335	2R	-	CG18335
FBgn0263598	CG3762	2L	Vacuolar H[+] ATPase 68 kDa subunit 2	Vha68-2
FBgn0002707	CG3697	X	meiotic 9	mei-9
FBgn0050031	CG30031	2R	-	CG30031
FBgn0030634	CG9164	X	-	CG9164
FBgn0026150	CG6291	2L	Aminopeptidase P	ApepP
FBgn0266417	CG45057	3L	ringmaker	ringer
FBgn0010424	CG7930	3L	Troponin C at 73F	TpnC73F
FBgn0024184	CG6269	X	unc-4	unc-4
FBgn0267449	CG45799	Y	WD40 Y	WDY
FBgn0004832	CG6358	X	Xeroderma pigmentosum group A-like	Xpac
FBgn0039003	CG4917	3R	wolfram syndrome 1	wfs1
FBgn0033202	CG1339	2R	-	CG1339
FBgn0033459	CG12744	2R	-	CG12744
FBgn0029708	CG3556	X	-	CG3556
FBgn0032971	CG6691	2L	tiny tim 3	ttm3
FBgn0036494	CG7250	3L	Toll-6	Toll-6
FBgn0030329	CG1837	X	pretaporter	prtp
FBgn0034013	CG8166	2R	unc-5	unc-5
FBgn0262512	CG8210	2R	Vacuolar H[+] ATPase 14kD subunit 1	Vha14-1
FBgn0026749	CG1989	X	Yippee	Yippee
FBgn0035082	CG2811	2R	-	CG2811
FBgn0039126	CG13601	3R	-	CG13601
FBgn0035976	CG4432	3L	Peptidoglycan recognition protein LC	PGRP-LC
FBgn0020386	CG1210	3L	Phosphoinositide-dependent kinase 1	Pdk1
FBgn0027493	CG17273	3R	Adenylosuccinate Synthetase	AdSS
FBgn0036257	CG6811	3L	Rho GTPase activating protein at 68F	RhoGAP68F
FBgn0030354	CG1559	X	Upf1 RNA helicase	Upf1
FBgn0064225	CG17489	2L	Ribosomal protein L5	RpL5
FBgn0015925	CG3730	2R	capsuleen	csul
FBgn0012051	CG7563	2R	Calpain-A	CalpA
FBgn0030367	CG1488	X	Cyp311a1	Cyp311a1
FBgn0037601	CG9716	3R	Cyp313b1	Cyp313b1
FBgn0040653	CG15231	2R	Daisho1	Dso1
FBgn0259211	CG42311	2R	grainy head	grh
FBgn0031414	CG33955	2L	eyes shut	eys
FBgn0000662	CG6315	2R	female lethal d	fl(2)d
FBgn0285896	CG32134	3L	breathless	btl
FBgn0001970	CG7480	2L	Polypeptide N-acetylgalactosaminyltransferase 35A	Pgant35A
FBgn0024232	CG18471	2R	gprs	gprs
FBgn0001168	CG6494	3L	hairy	h
FBgn0015805	CG7471	3L	Histone deacetylase 1	HDAC1
FBgn0259824	CG6017	3L	Huntingtin-interacting protein 14	Hip14
FBgn0024230	CG10234	2L	Heparan sulfate 2-O-sulfotransferase	Hs2st
FBgn0004914	CG9310	2L	Hepatocyte nuclear factor 4	Hnf4
FBgn0001170	CG11607	2L	Homeodomain protein 2.0	H2.0
FBgn0001942	CG9075	2L	eukaryotic translation initiation factor 4A	eIF4A
FBgn0086655	CG9397	2R	jing	jing
FBgn0020412	CG6297	3L	JIL-1 kinase	JIL-1
FBgn0032016	CG7818	2L	Methyltransferase like 14	Mettl14
FBgn0015765	CG5475	3R	p38a MAP kinase	p38a
FBgn0004228	CG7936	3L	midgut expression 1	mex1
FBgn0017572	CG4083	3L	Mo25	Mo25
FBgn0031637	CG2950	2L	mextli	mxt
FBgn0031018	CG12200	X	narya	narya
FBgn0259986	CG33545	3L	nab	nab
FBgn0002945	CG11614	3L	naked cuticle	nkd
FBgn0266570	CG2982	X	Nucleolar protein 66	NO66
FBgn0027548	CG2910	2R	spenito	nito
FBgn0010294	CG14266	X	new glue 2	ng2
FBgn0036848	CG10424	3L	NAD(P)HX dehydratase	Naxd
FBgn0024945	CG7067	3L	Nitrilase and fragile histidine triad fusion protein	NitFhit
FBgn0032597	CG17904	2L	-	CG17904
FBgn0020513	CG3989	X	PAICS bifunctional enzyme	Paics
FBgn0028572	CG14039	2L	quick-to-court	qtc
FBgn0015801	CG2928	2R	Rhythmically expressed gene 5	Reg-5
FBgn0029853	CG3781	X	-	CG3781
FBgn0039691	CG1972	3R	Integrator 11	IntS11
FBgn0267385	CG7070	3R	Pyruvate kinase	PyK
FBgn0035469	CG14977	3L	-	CG14977
FBgn0030608	CG9057	X	Lipid storage droplet-2	Lsd-2
FBgn0031857	CG11321	2L	Linear Ubiquitin E3 ligase	LUBEL
FBgn0034389	CG15078	2R	Multiple C2 domain and transmembrane region protein	Mctp
FBgn0283521	CG12052	2R	longitudinals lacking	lola
FBgn0023513	CG14803	X	-	CG14803
FBgn0004687	CG3201	X	Myosin light chain cytoplasmic	Mlc-c
FBgn0025631	CG4322	X	moody	moody
FBgn0026385	CG13206	2R	Odorant receptor 47b	Or47b
FBgn0024943	CG11219	X	PIP82	PIP82
FBgn0036519	CG7650	3L	-	CG7650
FBgn0038201	CG9918	3R	Pyrokinin 1 receptor	PK1-R
FBgn0263510	CG6751	2R	no child left behind	nclb
FBgn0038168	CG9591	3R	oocyte maintenance defects	omd
FBgn0053182	CG33182	2R	Lysine demethylase 4B	Kdm4B
FBgn0030715	CG12697	X	Odorant receptor 13a	Or13a
FBgn0286788	CG10667	2R	Origin recognition complex subunit 1	Orc1
FBgn0043535	CG30141	2R	Odorant-binding protein 57a	Obp57a
FBgn0085432	CG34403	4	pangolin	pan
FBgn0259171	CG42276	X	Phosphodiesterase 9	Pde9
FBgn0260753	CG13758	X	Pigment-dispersing factor receptor	Pdfr
FBgn0005655	CG9193	2R	Proliferating cell nuclear antigen	PCNA
FBgn0024555	CG9351	3R	falafel	flfl
FBgn0039111	CG10371	3R	Protein tyrosine phosphatase, mitochondrial 1	PTPMT1
FBgn0002989	CG3736	2L	okra	okr
FBgn0015797	CG6601	2L	Rab6	Rab6
FBgn0011703	CG5371	2L	Ribonucleoside diphosphate reductase large subunit	RnrL
FBgn0001330	CG3228	X	kurz	kz
FBgn0052676	CG32676	X	stuxnet	stx
FBgn0003525	CG1395	3R	string	stg
FBgn0013997	CG6827	3L	Neurexin IV	Nrx-IV
FBgn0013726	CG8705	2R	peanut	pnut
FBgn0032014	CG7840	2L	-	CG7840
FBgn0037683	CG18473	3R	-	CG18473
FBgn0026378	CG8432	2R	Rab escort protein	Rep
FBgn0014020	CG8416	2R	Rho1	Rho1
FBgn0002855	CG8982	2L	Accessory gland protein 26Aa	Acp26Aa
FBgn0033378	CG8781	2R	tsunagi	tsu
FBgn0028292	CG15797	X	ric8a	ric8a
FBgn0035462	CG1120	3L	Integrator 10	IntS10
FBgn0261800	CG7123	2L	LanB1	LanB1
FBgn0002775	CG8631	3L	male-specific lethal 3	msl-3
FBgn0020277	CG8807	3L	lush	lush
FBgn0039707	CG15510	3R	Protamine-like 99C	Prtl99C
FBgn0003330	CG5595	3R	Sex combs extra	Sce
FBgn0086384	CG14228	X	Merlin	Mer
FBgn0051004	CG31004	3R	mesh	mesh
FBgn0031893	CG4495	2L	Mitochondrial calcium uptake 1	MICU1
FBgn0036059	CG8104	3L	nudE	nudE
FBgn0039488	CG6066	3R	-	CG6066
FBgn0032925	CG9246	2L	-	CG9246
FBgn0002521	CG17743	4	pleiohomeotic	pho
FBgn0004432	CG9916	X	Cyclophilin 1	Cyp1
FBgn0020305	CG4258	2L	dribble	dbe
FBgn0020637	CG10534	3L	Lcp65Ag2	Lcp65Ag2
FBgn0002868	CG9470	3R	Metallothionein A	MtnA
FBgn0039139	CG5933	3R	Methyltransferase like 3	Mettl3
FBgn0264695	CG17927	2L	Myosin heavy chain	Mhc
FBgn0261675	CG12092	X	Niemann-Pick type C-1b	Npc1b
FBgn0019952	CG6331	3R	Organic cation transporter	Orct
FBgn0043534	CG30142	2R	Odorant-binding protein 57b	Obp57b
FBgn0035243	CG13926	3L	-	CG13926
FBgn0039115	CG10214	3R	-	CG10214
FBgn0004401	CG6143	3L	Protein on ecdysone puffs	Pep
FBgn0002284	CG4097	3L	Proteasome beta6 subunit	Prosbeta6
FBgn0026666	CG8198	X	Magnetic receptor	MagR
FBgn0283494	CG3140	2R	Adenylate kinase 2	Ak2
FBgn0001280	CG7933	3R	janus A	janA
FBgn0000337	CG1555	2R	cinnabar	cn
FBgn0262647	CG4738	2L	Nucleoporin 160kD	Nup160
FBgn0003028	CG6824	X	ovo	ovo
FBgn0030204	CG15302	X	Odorant receptor 9a	Or9a
FBgn0031109	CG11748	X	Odorant-binding protein 19a	Obp19a
FBgn0261976	CG18013	2L	Partner of Sld Five 2	Psf2
FBgn0041191	CG1081	3R	Ras homolog enriched in brain	Rheb
FBgn0001224	CG4463	3L	Heat shock protein 23	Hsp23
FBgn0004657	CG1560	X	myospheroid	mys
FBgn0001263	CG3504	2R	inactivation no afterpotential D	inaD
FBgn0044046	CG13317	X	Insulin-like peptide 7	Ilp7
FBgn0259150	CG42265	X	Otopetrin-like c	OtopLc
FBgn0035382	CG9969	3L	Odorant receptor 63a	Or63a
FBgn0043536	CG30150	2R	Odorant-binding protein 57d	Obp57d
FBgn0034473	CG12501	2R	Odorant receptor 56a	Or56a
FBgn0010247	CG40411	3R	Poly-(ADP-ribose) polymerase	Parp
FBgn0035977	CG4437	3L	Peptidoglycan recognition protein LF	PGRP-LF
FBgn0013725	CG10108	2R	phyllopod	phyl
FBgn0036000	CG3434	3L	-	CG3434
FBgn0003231	CG10360	2L	refractory to sigma P	ref(2)P
FBgn0036497	CG7815	3L	Ran-like	Ran-like
FBgn0265784	CG6103	X	Cyclic-AMP response element binding protein B	CrebB
FBgn0015039	CG4486	2R	Cytochrome P450-9b2	Cyp9b2
FBgn0000473	CG9438	2R	Cytochrome P450-6a2	Cyp6a2
FBgn0031126	CG1829	X	Cyp6v1	Cyp6v1
FBgn0014454	CG7216	2L	Adult cuticle protein 1	Acp1
FBgn0015509	CG1877	2R	Cullin 1	Cul1
FBgn0051320	CG31320	3R	HEAT repeat containing 2	HEATR2
FBgn0024244	CG10016	2L	drumstick	drm
FBgn0284245	CG8280	2R	eukaryotic translation elongation factor 1 alpha 1	eEF1alpha1
FBgn0000559	CG2238	2L	eukaryotic translation elongation factor 2	eEF2
FBgn0004858	CG4220	2L	elbow B	elB
FBgn0038286	CG6966	3R	-	CG6966
FBgn0030327	CG2448	X	alpha1,6-fucosyltransferase	FucT6
FBgn0038197	CG3143	3R	forkhead box, sub-group O	foxo
FBgn0016081	CG32045	3L	furry	fry
FBgn0039099	CG10157	3R	Gamma-interferon-inducible lysosomal thiol reductase 2	GILT2
FBgn0036850	CG10419	3L	Gemin 2	Gem2
FBgn0036862	CG9619	3L	Glycogen binding subunit 76A	Gbs-76A
FBgn0001134	CG7446	3L	Glycine receptor	Grd
FBgn0010240	CG17336	X	Ligand-gated chloride channel homolog 3	Lcch3
FBgn0041233	CG33151	2R	Gustatory receptor 59e	Gr59e
FBgn0004638	CG6033	2R	downstream of receptor kinase	drk
FBgn0001114	CG9280	2L	Glutactin	Glt
FBgn0001223	CG4460	3L	Heat shock protein 22	Hsp22
FBgn0263391	CG43443	2R	hu li tai shao	hts
FBgn0001222	CG5748	2R	Heat shock factor	Hsf
FBgn0036556	CG5830	3L	herzog	hzg
FBgn0036038	CG18176	3L	deflated	defl
FBgn0086613	CG31212	3R	INO80 complex subunit	Ino80
FBgn0034231	CG11419	2R	Anaphase Promoting Complex subunit 10	APC10
FBgn0000120	CG5711	2L	Arrestin 1	Arr1
FBgn0000286	CG11924	2L	Chorion factor 2	Cf2
FBgn0019624	CG14724	3R	Cytochrome c oxidase subunit 5A	COX5A
FBgn0033775	CG17577	2R	Cyp9h1	Cyp9h1
FBgn0034756	CG4373	2R	Cyp6d2	Cyp6d2
FBgn0278604	CG8374	3R	dalmatian	dmt
FBgn0265998	CG42320	3R	Darkener of apricot	Doa
FBgn0085413	CG34384	3R	-	CG34384
FBgn0085390	CG34361	2R	Diacyl glycerol kinase	Dgk
FBgn0010269	CG15793	X	Downstream of raf1	Dsor1
FBgn0038435	CG14885	3R	Guanylyl cyclase at 89Da	Gyc89Da
FBgn0045479	CG32261	3L	Gustatory receptor 64a	Gr64a
FBgn0039904	CG1710	4	Host cell factor	Hcf
FBgn0001147	CG2692	2R	gooseberry-neuro	gsb-n
FBgn0037377	CG1218	3R	-	CG1218
FBgn0024234	CG5562	2R	glass bottom boat	gbb
FBgn0039890	CG2316	4	ATP binding cassette subfamily D member 1	Abcd1
FBgn0013749	CG11027	4	ADP ribosylation factor at 102F	Arf102F
FBgn0034665	CG4372	2R	-	CG4372
FBgn0040735	CG16836	2R	Bomanin Tailed 2	BomT2
FBgn0000233	CG12653	X	buttonhead	btd
FBgn0030228	CG1826	X	BTB (POZ) domain containing 9	BTBD9
FBgn0013755	CG7960	3L	Brother	Bro
FBgn0038680	CG11821	3R	Cyp12a5	Cyp12a5
FBgn0000228	CG14025	2L	Blastoderm-specific gene 25D	Bsg25D
FBgn0013753	CG7959	3L	Big brother	Bgb
FBgn0033302	CG8687	2R	Cyp6a14	Cyp6a14
FBgn0033980	CG10245	2R	Cyp6a20	Cyp6a20
FBgn0033292	CG2110	2R	Cyp4ad1	Cyp4ad1
FBgn0005585	CG9429	3R	Calreticulin	Calr
FBgn0000376	CG2714	X	cramped	crm
FBgn0010215	CG17947	3L	alpha Catenin	alpha-Cat
FBgn0000382	CG3954	X	corkscrew	csw
FBgn0263239	CG12029	3L	dendritic arbor reduction 1	dar1
FBgn0267972	CG10908	2L	Derlin-1	Der-1
FBgn0030731	CG3415	X	peroxisomal Multifunctional enzyme type 2	Mfe2
FBgn0000524	CG3929	X	deltex	dx
FBgn0014857	CG5825	2L	Histone H3.3A	His3.3A
FBgn0036057	CG14164	3L	Hezron	Hez
FBgn0264005	CG43748	3R	H6-like-homeobox	Hmx
FBgn0001169	CG5460	3R	Hairless	H
FBgn0000206	CG8285	3R	bride of sevenless	boss
FBgn0053653	CG33653	4	Calcium-dependent secretion activator	Cadps
FBgn0038439	CG14900	3R	Cadherin 89D	Cad89D
FBgn0036165	CG7533	3L	charybde	chrb
FBgn0015035	CG4105	2L	Cytochrome P450-4e3	Cyp4e3
FBgn0033086	CG9410	2R	-	CG9410
FBgn0037898	CG18643	3R	D-aminoacyl-tRNA deacylase	Dtd
FBgn0031044	CG14211	X	MAPK Phosphatase 4	MKP-4
FBgn0000320	CG9554	2L	eyes absent	eya
FBgn0000659	CG10002	3R	fork head	fkh
FBgn0263278	CG9523	2L	Fic domain-containing protein	Fic
FBgn0003062	CG9888	2R	Fibrillarin	Fib
FBgn0035147	CG12030	3L	UDP-galactose 4'-epimerase	Gale
FBgn0086605	CG9853	3R	-	CG9853
FBgn0045501	CG31662	2L	Gustatory receptor 22a	Gr22a
FBgn0001145	CG1743	X	Glutamine synthetase 2	Gs2
FBgn0010113	CG15532	3R	headcase	hdc
FBgn0001137	CG17610	2L	gurken	grk
FBgn0017482	CG3425	2R	Type III alcohol dehydrogenase	T3dh
FBgn0261609	CG9946	X	eukaryotic translation initiation factor 2 subunit alpha	eIF2alpha
FBgn0044051	CG14173	3L	Insulin-like peptide 1	Ilp1
FBgn0003091	CG6622	2R	Protein C kinase 53E	Pkc53E
FBgn0004168	CG16720	2R	5-hydroxytryptamine (serotonin) receptor 1A	5-HT1A
FBgn0003366	CG18085	X	sevenless	sev
FBgn0030122	CG16892	X	Aladin	Aladin
FBgn0000055	CG3481	2L	Alcohol dehydrogenase	Adh
FBgn0003270	CG10393	2L	absent MD neurons and olfactory sensilla	amos
FBgn0260941	CG42318	3L	approximated	app
FBgn0034282	CG5784	2R	Mapmodulin	Mapmodulin
FBgn0000083	CG5730	3R	Annexin B9	AnxB9
FBgn0030949	CG6585	X	Cyp308a1	Cyp308a1
FBgn0035872	CG7185	3L	Cleavage and polyadenylation specific factor 6	Cpsf6
FBgn0259938	CG17100	3R	clockwork orange	cwo
FBgn0002022	CG10449	2L	Catecholamines up	Catsup
FBgn0031820	CG9537	2L	Daxx-like protein	Daxx
FBgn0284247	CG17941	2L	dachsous	ds
FBgn0031052	CG14215	X	-	Elys
FBgn0031621	CG15634	2L	Early boundary activity 3	Elba3
FBgn0034258	CG4954	2R	eukaryotic translation initiation factor 3 subunit c	eIF3c
FBgn0259099	CG42247	3L	Doublecortin-domain-containing echinoderm-microtubule-associated protein	DCX-EMAP
FBgn0000588	CG14941	2L	extra sexcombs	esc
FBgn0031375	CG31670	2L	earmuff	erm
FBgn0041171	CG15010	3L	archipelago	ago
FBgn0011824	CG4038	2R	-	CG4038
FBgn0045502	CG32664	X	Gustatory receptor 10a	Gr10a
FBgn0001128	CG9042	2L	Glycerol-3-phosphate dehydrogenase 1	Gpdh1
FBgn0000384	CG17678	2L	concertina	cta
FBgn0038440	CG14901	3R	Gustatory receptor 89a	Gr89a
FBgn0053052	CG33052	3L	Golgin, RAB6 interacting	Gorab
FBgn0052255	CG32255	3L	Gustatory receptor 64f	Gr64f
FBgn0004435	CG17759	2R	G protein alpha q subunit	Galphaq
FBgn0004919	CG2679	2R	goliath	gol
FBgn0001087	CG10986	X	garnet	g
FBgn0033397	CG10843	2R	Cyp4p3	Cyp4p3
FBgn0011204	CG12086	3L	cueball	cue
FBgn0013308	CG8719	2R	Ornithine decarboxylase 2	Odc2
FBgn0003261	CG10279	3R	Rm62	Rm62
FBgn0033740	CG8828	2R	dim gamma-tubulin 5	dgt5
FBgn0000227	CG12205	2L	Early boundary activity 1	Elba1
FBgn0030251	CG2145	X	-	CG2145
FBgn0000618	CG15191	X	enhancer of yellow 2	e(y)2
FBgn0034142	CG8306	2R	-	CG8306
FBgn0029676	CG2947	X	Hsc/Hsp70-interacting protein related	HIP-R
FBgn0001079	CG6551	X	fused	fu
FBgn0261239	CG8676	2L	Hormone receptor-like in 39	Hr39
FBgn0002573	CG32120	3L	senseless	sens
FBgn0000808	CG1505	X	gastrulation-defective	gd
FBgn0004598	CG18734	X	Furin 2	Fur2
